received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	Data
2025-07-01T10:14:39.388830643Z	wwt-ormstrup-buoy	1	92385	-118		0.087296s	X5D/////////////QVtHrkGKkwFDSAh5QVsi0Q==	5f90ffffffffffffffffffff415b47ae418a930143480879415b22d1	('ID', '95', 'Status', '144', 'Dummy', 13.704999923706055, 'Dissolved Oxygen Concentration', 17.321779251098633, 'Dissolved Oxygen % Saturation', 200.03309631347656, 'External Voltage', 13.696000099182129)
2025-07-01T10:28:51.063448401Z	wwt-ormstrup-buoy	1	92388	-112		0.082176s	RPBBt11dQag2XUGXmP1BleI9QZSNDUGQxR0=	44f041b75d5d41a8365d419798fd4195e23d41948d0d4190c51d	('ID', '68', 'Status', '240', 'T0', 22.92058753967285, 'T1', 21.02654457092285, 'T2', 18.9497013092041, 'T3', 18.7354679107666, 'T4', 18.568872451782227, 'T5', 18.09624671936035)
2025-07-01T10:29:22.743763410Z	wwt-ormstrup-buoy	1	92389	-118		0.087296s	XxD/////////////QVzdL0GKCjNDR+mEQVtsiw==	5f10ffffffffffffffffffff415cdd2f418a0a334347e984415b6c8b	('ID', '95', 'Status', '16', 'Dummy', 13.803999900817871, 'Dissolved Oxygen Concentration', 17.254980087280273, 'Dissolved Oxygen % Saturation', 199.91217041015625, 'External Voltage', 13.71399974822998)
2025-07-01T10:29:59.448970345Z	wwt-ormstrup-buoy	1	92390	-117		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T10:43:23.898950652Z	wwt-ormstrup-buoy	1	92391	-113		0.097536s	YFD//////////////////0IWq/b/////P/Or0///////////	6050ffffffffffffffffffffffffffff4216abf6ffffffff3ff3abd3ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', nan, 'Turbidity', 37.667930603027344, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 1.9036811590194702, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T10:43:53.777624259Z	wwt-ormstrup-buoy	1	92392	-116		0.082176s	RHBBt/VdQae/XUGXGf1BlbDNQZR4DUGQob0=	447041b7f55d41a7bf5d419719fd4195b0cd4194780d4190a1bd	('ID', '68', 'Status', '112', 'T0', 22.99480628967285, 'T1', 20.96843910217285, 'T2', 18.8876895904541, 'T3', 18.711328506469727, 'T4', 18.558618545532227, 'T5', 18.0789737701416)
2025-07-01T10:44:21.876835905Z	wwt-ormstrup-buoy	1	92393	-118		0.087296s	X5D/////////////QVtsi0GIKlNDRV2FQVr99A==	5f90ffffffffffffffffffff415b6c8b41882a5343455d85415afdf4	('ID', '95', 'Status', '144', 'Dummy', 13.71399974822998, 'Dissolved Oxygen Concentration', 17.020666122436523, 'Dissolved Oxygen % Saturation', 197.3653106689453, 'External Voltage', 13.687000274658203)
2025-07-01T10:44:51.647416677Z	wwt-ormstrup-buoy	1	92394	-115		0.061696s	YbD//////////w==	61b0ffffffffffffffff	('ID', '97', 'Status', '176', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T10:58:20.677014837Z	wwt-ormstrup-buoy	1	92395	-118		0.097536s	YNBBWo9cAAAAowAgQVpqf0I5z/r/////PzYkK///////////	60d0415a8f5c000000a30020415a6a7f4239cffaffffffff3f36242bffffffffffffffff	('ID', '96', 'Status', '208', 'Dummy', 13.651000022888184, 'Turbidity', 46.453102111816406, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.7114893794059753, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T10:58:51.583178269Z	wwt-ormstrup-buoy	1	92396	-114		0.082176s	RPBBu6G9Qah6XUGXF61BlbWtQZSQzUGQfP0=	44f041bba1bd41a87a5d419717ad4195b5ad419490cd41907cfd	('ID', '68', 'Status', '240', 'T0', 23.4539737701416, 'T1', 21.05974769592285, 'T2', 18.886560440063477, 'T3', 18.713708877563477, 'T4', 18.570703506469727, 'T5', 18.0610294342041)
